视频类型,关联BV号,text,id,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数,点踩数,子分区ID,UP主.x,UP主ID,视频链接,抓取小时,抓取时间,稿件发布时间,UP主.y,UP主ID.y,official_role,official_title,official_desc,official_type,if_state,mid,name,sex,data_follower,archive_count,like_num,condition
相关视频,BV1Er4neSE7v,第一次 看见 猫 分手 网友 爱情 一地 猫 毛,BV1mW4newEXx,78362,8,102,266,14,502,3123,0,喵星人,龙岩市融媒体中心,1530531921.0,https://www.bilibili.com/video/BV1mW4newEXx/,1275,2024-09-11 18:53,2024-09-12 09:00:05,龙岩市融媒体中心,1530531921.0,5.0,龙岩市融媒体中心官方账号,,1.0,1,1530531921.0,龙岩市融媒体中心,保密,13712,8246,8074069,
相关视频,BV1En4y1f7VB,马斯克 儿子 变性 被骗 签署 青春期 阻滞剂 同意书 事后 知会 导致 不育,BV1ar421M78c,71218,37,462,230,13,292,2567,0,环球,四川观察,487614876.0,https://www.bilibili.com/video/BV1ar421M78c/,94,2024-07-24 13:53,2024-07-24 10:06:17,四川观察,487614876.0,5.0,四川广播电视台官方账号,,1.0,1,487614876.0,四川观察,保密,937471,10850,152725193,单个自制视频总播放数>=100万
相关视频,BV1BYY9edEV3,七夕 当天 情感 纠纷 致人 死亡 受伤 广东 警方 嫌疑人 刑拘,BV1WZ421N7wX,237070,204,898,569,45,1584,5967,0,社会,四川观察,487614876.0,https://www.bilibili.com/video/BV1WZ421N7wX/,536,2024-08-11 23:53,2024-08-11 09:35:30,四川观察,487614876.0,5.0,四川广播电视台官方账号,,1.0,1,487614876.0,四川观察,保密,937471,10850,152725193,单个自制视频总播放数>=100万
相关视频,BV1AztQejEDJ,今年 月饼 江湖 真正 霸主,BV1Je4y1a7a1,155970,1114,1638,457,325,377,22749,0,社会,央视农业,1343321779.0,https://www.bilibili.com/video/BV1Je4y1a7a1/,1439,2024-09-18 14:53,2022-09-10 02:00:00,央视农业,1343321779.0,5.0,CCTV-17农业农村频道新闻部官方账号,,1.0,1,1343321779.0,央视农业,保密,2767418,1247,73437459,单个自制视频总播放数>=100万
相关视频,BV1s1pietEuo,张杰 演唱会 自报 手机号 无辜 素人 电话 轰炸,BV1UopvecEuU,112892,110,938,218,60,635,2834,0,综合,四川观察,487614876.0,https://www.bilibili.com/video/BV1UopvecEuU/,1165,2024-09-07 04:53,2024-09-08 09:05:08,四川观察,487614876.0,5.0,四川广播电视台官方账号,,1.0,1,487614876.0,四川观察,保密,938678,10872,153107449,单个自制视频总播放数>=100万
相关视频,BV1arxbeZE6E,光荣 征程 致敬 人民 子弟兵,BV1aG411h7n3,6176,3,20,48,46,24,2108,0,综合,央视频,433587902.0,https://www.bilibili.com/video/BV1aG411h7n3/,1694,2024-09-29 05:53,2022-08-01 06:16:07,央视频,433587902.0,5.0,央视频官方账号,,1.0,1,433587902.0,央视频,保密,3408954,8334,60954264,单个自制视频总播放数>=100万
热门视频,,外交部 回应 黑神话悟空 全球 走红 反映 中国 文化 吸引力,BV17i421a7Lp,483087,338,1461,2279,1181,5630,36391,0,热点,新华社,473837611.0,https://www.bilibili.com/video/BV17i421a7Lp/,744,2024-08-20 15:53,2024-08-21 10:08:12,新华社,473837611.0,5.0,新华社官方账号,,1.0,1,473837611.0,新华社,保密,16698094,5410,213795957,
相关视频,BV1bE4m1d7sV,剃光头 式 砍伐 触目惊心 万亩 沙漠 防护林 毁 敦煌 防沙 屏障 几近 消失,BV1wv411s7tC,4966776,40214,17809,92360,432741,78796,685605,0,热点,新华社,473837611.0,https://www.bilibili.com/video/BV1wv411s7tC/,233,2024-07-30 08:53,2021-01-22 03:21:58,新华社,473837611.0,5.0,新华社官方账号,,1.0,1,473837611.0,新华社,保密,16689285,5404,213681222,
相关视频,BV1CU411U7Kn,可爱 央视 新闻 艾特后 运动员 全是 网名 毫无 本名 痕迹,BV18M4m1y7E5,309204,20,196,444,35,103,10357,0,热点,红星视频,526890129.0,https://www.bilibili.com/video/BV18M4m1y7E5/,222,2024-07-29 21:53,2024-07-27 05:36:24,红星视频,526890129.0,5.0,成都商报红星新闻官方账号,,1.0,1,526890129.0,红星视频,保密,206613,32632,66809315,单个自制视频总播放数>=100万
相关视频,BV1YmxYegEBz,天上 一颗 樊锦诗星 敦煌 女儿 捐,BV1Yh4y1Z7EE,53746,20,82,249,256,119,9289,0,热点,人民日报,1131457022.0,https://www.bilibili.com/video/BV1Yh4y1Z7EE/,1706,2024-09-29 17:53,2023-07-10 11:25:13,人民日报,1131457022.0,5.0,人民日报官方账号,,1.0,1,1131457022.0,人民日报,保密,15230611,3045,157365028,单个自制视频总播放数>=100万
相关视频,BV1AS421d7be,外国人 搞 难道 中国 搞,BV1yv4y1B7wf,1213992,2083,935,28186,28300,1988,215974,0,热点,新华社,473837611.0,https://www.bilibili.com/video/BV1yv4y1B7wf/,692,2024-08-18 11:53,2022-12-31 07:50:00,新华社,473837611.0,5.0,新华社官方账号,,1.0,1,473837611.0,新华社,保密,16698094,5410,213795957,
相关视频,BV11up7egEDP,视频 见证 一座 城市 苏醒,BV1bz411b74i,95615,327,551,936,946,428,14438,0,社会,央视新闻,456664753.0,https://www.bilibili.com/video/BV1bz411b74i/,1186,2024-09-08 01:53,2020-04-07 04:40:06,央视新闻,456664753.0,5.0,央视新闻官方账号,,1.0,1,456664753.0,央视新闻,保密,19550189,7442,351768520,单个自制视频总播放数>=100万
相关视频,BV1zy411e7Bd,张扬 老师 忘 家乡 黄梅戏 带进 课堂,BV1Fv411V7c9,54469,287,292,379,785,122,9514,0,热点,新华社,473837611.0,https://www.bilibili.com/video/BV1Fv411V7c9/,693,2024-08-18 12:53,2021-05-31 03:13:40,新华社,473837611.0,5.0,新华社官方账号,,1.0,1,473837611.0,新华社,保密,16698094,5410,213795957,
相关视频,BV1fW42197Bb,冬奥 志愿者 希望 听到 国歌 反复 奏响,BV1w34y1r7GD,34928,16,72,125,129,56,8124,0,社会,央视新闻,456664753.0,https://www.bilibili.com/video/BV1w34y1r7GD/,527,2024-08-11 14:53,2021-12-25 06:56:05,央视新闻,456664753.0,5.0,央视新闻官方账号,,1.0,1,456664753.0,央视新闻,保密,19538939,7435,351374038,单个自制视频总播放数>=100万
相关视频,BV1xb421J7mJ,硬核 军粮 既能 扛 饥饿 刀枪,BV1RA411M76u,3821669,642,2767,4010,423,924,45666,0,美食记录,国防时报TV,189866857.0,https://www.bilibili.com/video/BV1RA411M76u/,45,2024-07-22 12:53,2021-02-22 16:15:04,国防时报TV,189866857.0,5.0,国防时报官方账号,,1.0,1,189866857.0,国防时报TV,保密,1502991,4314,44359808,单个自制视频总播放数>=100万
相关视频,BV16U411U7C2,郑钦文 赛前 很多遍 刘翔 夺冠 视频 激励 做到,BV12S411w7Xv,95207,117,396,457,350,222,12011,0,竞技体育,中新视频,104092224.0,https://www.bilibili.com/video/BV12S411w7Xv/,342,2024-08-03 21:53,2024-08-03 20:19:51,中新视频,104092224.0,5.0,中国新闻社官方账号,,1.0,1,104092224.0,中新视频,保密,287389,18663,40523300,单个自制视频总播放数>=100万
相关视频,BV1vT421z7BX,配料表 写 保密 合规,BV1ZM411k7jZ,1869042,779,2234,4870,1204,519,113419,0,科学科普,中国食品报融媒体,439478093.0,https://www.bilibili.com/video/BV1ZM411k7jZ/,966,2024-08-29 21:53,2022-11-15 10:33:26,中国食品报融媒体,439478093.0,5.0,中国食品报融媒体官方帐号,,1.0,1,439478093.0,中国食品报融媒体,保密,3805502,445,52587388,单个自制视频总播放数>=100万
相关视频,BV1ah23Y5E1P,舞台 新人 结婚典礼 正在 进行 新郎 突然 走开 移灯 网友 新郎 有事 走开 马上 回来,BV1p923YbEtd,51189,7,48,22,9,15,1000,0,社会,东方今报,493260599.0,https://www.bilibili.com/video/BV1p923YbEtd/,158,2024-10-11 07:53,2024-10-10 10:27:56,东方今报,493260599.0,5.0,东方今报社官方账号,,1.0,1,493260599.0,东方今报,保密,192374,20903,79740083,单个自制视频总播放数>=100万
相关视频,BV1WD21YbEkD,二房东 租客 包子铺 生意 要求 涨租元 拒绝 连夜 搬空 店铺 包子铺 老板 还断 过电 找 焊工 整张 门锁 死,BV12L2bYEEnP,25712,6,70,19,6,5,1316,0,社会,洛阳网,1905206817.0,https://www.bilibili.com/video/BV12L2bYEEnP/,184,2024-10-12 09:53,2024-10-12 07:58:47,洛阳网,1905206817.0,5.0,洛阳网官方账号,,1.0,1,1905206817.0,洛阳网,保密,90449,13494,43927768,
相关视频,BV124421U7zx,中国 沙特 指导 当地人 种 茄子 种 茄子,BV1wW421R7sL,335237,199,826,856,37,274,16264,0,热点,中新视频,104092224.0,https://www.bilibili.com/video/BV1wW421R7sL/,184,2024-07-28 07:53,2024-07-18 04:59:11,中新视频,104092224.0,5.0,中国新闻社官方账号,,1.0,1,104092224.0,中新视频,保密,287389,18663,40523300,单个自制视频总播放数>=100万
相关视频,BV1in4y1f732,疑似 医生 实验员 企业 非法 倒卖 尸骨 原材料 殡仪馆 购入 万元 售出,BV1AT421r7gy,6920,7,124,64,49,111,742,0,社会,荔枝新闻,38996445.0,https://www.bilibili.com/video/BV1AT421r7gy/,451,2024-08-08 10:53,2024-08-08 09:48:54,荔枝新闻,38996445.0,5.0,荔枝新闻官方账号,,1.0,1,38996445.0,荔枝新闻,保密,19390,2228,3173471,单个自制视频总播放数>=100万
相关视频,BV1Ty411q7Fv,奥运 开幕式 韩国 国名 报成 朝鲜 国际奥委会 致歉,BV1QH4y1c73c,144593,197,434,449,28,1229,5740,0,环球,四川观察,487614876.0,https://www.bilibili.com/video/BV1QH4y1c73c/,160,2024-07-27 07:53,2024-07-27 06:36:30,四川观察,487614876.0,5.0,四川广播电视台官方账号,,1.0,1,487614876.0,四川观察,保密,937471,10850,152725193,单个自制视频总播放数>=100万
相关视频,BV1uM4m1Y7pF,沙利文 任内 首次 访华 随行人员 几乎 中文,BV11n4y1f7q4,240352,362,1051,688,104,251,9512,0,热点,环球网,483787858.0,https://www.bilibili.com/video/BV11n4y1f7q4/,965,2024-08-29 20:53,2024-08-29 00:23:33,环球网,483787858.0,5.0,环球网官方账号,,1.0,1,483787858.0,环球网,保密,1422102,30098,210818986,单个自制视频总播放数>=100万
相关视频,BV1L1421t7GU,马龙 纪录片 热爱 挥出,BV1pG411r749,155412,691,431,5883,7194,2033,18352,0,热点,人民日报,1131457022.0,https://www.bilibili.com/video/BV1pG411r749/,475,2024-08-09 10:53,2023-12-29 09:25:28,人民日报,1131457022.0,5.0,人民日报官方账号,,1.0,1,1131457022.0,人民日报,保密,15220715,3042,157267295,单个自制视频总播放数>=100万
