"X","视频类型","关联BV号","标题","BV号","播放量","弹幕数","评论数","收藏数","投币数","分享数","点赞数","点踩数","子分区ID","UP主.x","UP主ID","视频链接","抓取小时","抓取时间","稿件发布时间","UP主.y","UP主ID.y","official_role","official_title","official_desc","official_type","if_state"
13833,"相关视频","BV1Pd4yetEFD","汤姆律师：法庭上禁止对凶手做奇怪的事情啊！！！","BV1HH42ebEpQ",626300,932,389,33857,26435,290,47486,0,"短片·手书","芦苇十三少",5818410,"https://www.bilibili.com/video/BV1HH42ebEpQ/",1332,"2024-09-14 03:53","2024-09-15 04:12:39",NA,NA,NA,NA,NA,NA,0
13834,"相关视频","BV1Pd4yetEFD","那晚，飞霄和开拓者都喝多了","BV1aTtFejERm",141996,239,130,5144,712,209,10438,0,"短片·手书","迟早秃",387014478,"https://www.bilibili.com/video/BV1aTtFejERm/",1332,"2024-09-14 03:53","2024-09-14 10:00:00",NA,NA,NA,NA,NA,NA,0
35420,"热门视频","","“远方的真经和西行的路，哪个能把我救赎？”","BV1yeHGe9EE7",93972,615,408,15385,9580,389,31702,0,"人力VOCALOID","青丝暮成雪O_o",302218053,"https://www.bilibili.com/video/BV1yeHGe9EE7/",1024,"2024-09-01 07:53","2024-09-01 02:00:00",NA,NA,NA,NA,NA,NA,0
35421,"相关视频","BV1yeHGe9EE7","“大雨还在下，十方神佛在怒骂”","BV1wu4y1y7iQ",3308834,2561,4982,132820,168531,10163,312384,0,"人力VOCALOID","不愚人的愚人杰",313140441,"https://www.bilibili.com/video/BV1wu4y1y7iQ/",1024,"2024-09-01 07:53","2023-09-04 03:30:00",NA,NA,NA,NA,NA,NA,0
35422,"相关视频","BV1yeHGe9EE7","【孙悟空】天下局","BV17f4y1C7Bj",4097391,4268,5532,115713,169061,8995,244515,0,"人力VOCALOID","似乎一脸懵逼",110939266,"https://www.bilibili.com/video/BV17f4y1C7Bj/",1024,"2024-09-01 07:53","2020-12-30 03:55:02",NA,NA,NA,NA,NA,NA,0
35423,"相关视频","BV1yeHGe9EE7","“去他妈的斗战胜佛，老子是齐天大圣！”黑神话悟空x九九八十一填词翻唱！","BV1GUH7eSEHp",6375,16,62,257,203,8,445,0,"单机游戏","丨千鹤羽丨",1255530454,"https://www.bilibili.com/video/BV1GUH7eSEHp/",1024,"2024-09-01 07:53","2024-08-30 14:37:38",NA,NA,NA,NA,NA,NA,0
35424,"相关视频","BV1yeHGe9EE7","【草东 | 鲁迅】让他们怨恨去，我也一个都不宽恕 《但》","BV1hZ421p7Fg",183128,124,148,11768,5217,463,12837,0,"影视剪辑","MO_MO_KA",27282839,"https://www.bilibili.com/video/BV1hZ421p7Fg/",1024,"2024-09-01 07:53","2024-06-05 11:11:58",NA,NA,NA,NA,NA,NA,0
35425,"相关视频","BV1yeHGe9EE7","“神啊，我一无所有又怎学会豁达”","BV1cZ421u7yW",2801153,3896,2789,143887,208613,16386,316838,0,"人力VOCALOID","消失的四次元口袋",383890510,"https://www.bilibili.com/video/BV1cZ421u7yW/",1024,"2024-09-01 07:53","2024-07-13 03:09:29",NA,NA,NA,NA,NA,NA,0
35426,"相关视频","BV1yeHGe9EE7","“神啊，可不可以让我感受一下，一个没有战争的世界啊”","BV1JZ421u7rt",2142932,5774,1445,84934,183729,6413,246295,0,"人力VOCALOID","纽毕斯",89338806,"https://www.bilibili.com/video/BV1JZ421u7rt/",1024,"2024-09-01 07:53","2024-07-09 04:05:00",NA,NA,NA,NA,NA,NA,0
35427,"相关视频","BV1yeHGe9EE7","“何惧它天将天兵，十万之巨”","BV1gM4y1J77x",1926202,2226,2492,74244,49254,4214,162754,0,"人力VOCALOID","可大师",15460461,"https://www.bilibili.com/video/BV1gM4y1J77x/",1024,"2024-09-01 07:53","2023-06-27 04:33:45",NA,NA,NA,NA,NA,NA,0
